geoid,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06503E+13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06505E+13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06504E+13,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
